текст доната или ссылка,ко-во заказанных минут,Название видео,где смотреть,Сумма доната,"Очередь:
1-25р/мин
2-50р/мин
3(четверная)-100р/мин
4(восьмеричная)-200р/мин",кол-во заказанных минут
https://www.youtube.com/watch?v=7LMflMPqx1s,,Крамбамбуля - Госцi,Goodgame,60,1,2
https://www.youtube.com/watch?v=pEyvoqD5pZU,05:04 - 16:04,Most of the Badass Lines from 300 were Actual Spartan Quotes - REISSUE,Goodgame,275,1,11
,,,Youtube,,1,не найдена сумма доната
https://www.youtube.com/watch?v=gZW5Obj2PYU,,Татарин (караоке),Youtube,100,1,4
https://www.youtube.com/watch?v=q05A9-q6PZU,,Лекарство от антисемитизма | Юрий Плавский,Youtube,100,1,4
https://www.youtube.com/watch?v=A3FcPcxVSsY,1:00:11 - 1:27:22,"Александр Марков ""Новейшие открытия в эволюции человека""",Youtube,700,1,28
https://www.youtube.com/watch?v=wdf3EiRKqYM,,ауф☝️,Youtube,300,1,12
https://www.youtube.com/watch?v=A5lb_afkvt0,,Origen - Dance Of The Clouds,Goodgame,100,1,4
https://www.youtube.com/watch?v=L5hj5EUaZMQ,,British Humor Show,Youtube,100,1,4
https://www.youtube.com/watch?v=C3EFSoeDQMU,,"""Перелезаем через заборы в костюме с Алексеем Щербаковым!"" (ток шоу) 1ый выпуск!",Youtube,275,1,11
https://www.youtube.com/watch?v=61hqrMi-j90,,Почему я не хожу к Маргиналу?,Youtube,100,1,4
https://www.youtube.com/watch?v=cUul5V4phzk,,КОММУНИЗМ ЛУЧШАЯ В МИРЕ ИДЕАЛОГИЯ!!!!!!!!!,Youtube,200,1,8
https://www.youtube.com/watch?v=Y12MWLYnipc,,Маргинал смотрит видосы в гостях на Паучительных историях,Youtube,450,1,18
https://www.youtube.com/watch?v=U0N2dhaaIZQ,,Русские киноблогеры,Youtube,100,1,4
https://www.youtube.com/watch?v=xposSKOOgI8,,ВОНЯЕТ,Youtube,100,1,4
https://www.youtube.com/watch?v=ZWmv7-NqNOY,,ПОШЛЫЕ ДЕВОЧКИ В ЧАТ РУЛЕТКЕ!!!,Youtube,100,1,4
https://www.youtube.com/watch?v=oQl7jRI2JMw,,"CHAZ Community Members Defend Theft: ""Consider It an Unplanned Donation"" | Pat Gray Unleashed",Youtube,200,1,8
https://www.youtube.com/watch?v=rCRTm2xJuRw,,БЕЗ МАТА О ДИАМАТЕ. Программист против биолога в споре о диалектическом материализме // По-живому,Youtube,200,1,8
